Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
2.451298584,22.39920044,-21.48419952,-17.9095993,35.83362606
2.461298584,22.44799995,-21.55739975,-17.76319885,35.83525386
2.471298584,22.43579865,-21.59399986,-17.79979897,35.86779522
2.481298584,22.39920044,-21.64279938,-17.79979897,35.87433328
2.491298584,22.39920044,-21.65499878,-17.81200027,35.88774869
2.501298584,22.42359924,-21.69159889,-17.84860039,35.94323026
2.511298584,22.41139984,-21.72819901,-17.9095993,35.98804277
2.521298584,22.43579865,-21.7038002,-17.9095993,35.98852249
2.531298584,22.50899887,-21.72819901,-17.92179871,36.05496541
2.541298584,22.48460007,-21.7159996,-17.94619942,36.04452736
2.551298584,22.56999969,-21.74040031,-18.01939964,36.14897862
2.561298584,22.69199944,-21.64279938,-17.98279953,36.14856404
2.571298584,22.77739906,-21.63059998,-17.95839882,36.18282537
2.581298584,22.75300026,-21.63059998,-17.98279953,36.17959307
2.591298584,22.77739906,-21.45979881,-18.21459961,36.20917718
2.601298584,22.78960037,-21.50860023,-18.16580009,36.22129294
2.611298584,22.71640015,-21.49639893,-18.12919998,36.14965967
2.621298584,22.74079895,-21.48419952,-18.16580009,36.17611172
2.631298584,22.64319992,-21.44759941,-18.11700058,36.06854215
2.641298584,22.48460007,-21.48419952,-18.04380035,35.95423203
2.651298584,22.46019936,-21.49639893,-18.04380035,35.94627176
2.661298584,22.42359924,-21.48419952,-18.01939964,35.90386324
2.671298584,22.35039902,-21.66720009,-17.76319885,35.84046776
2.681298584,22.32600021,-21.66720009,-17.78759956,35.8373624
2.691298584,22.3137989,-21.54520035,-18.14139938,35.93343361
2.701298584,22.27719879,-21.56959915,-18.10479927,35.90689279
2.711298584,22.22839928,-21.60619926,-18.09259987,35.89250271
2.721298584,22.27719879,-21.58180046,-18.16580009,35.94501343
2.731298584,22.21619987,-21.58180046,-18.20240021,35.92577099
2.741298584,22.3137989,-21.56959915,-18.16580009,35.96038824
2.751298584,22.37479973,-21.59399986,-18.1901989,36.02521102
2.761298584,22.36260033,-21.56959915,-18.20240021,36.00917764
2.771298584,22.39920044,-21.67939949,-17.94619942,35.96924542
2.781298584,22.35039902,-21.64279938,-17.95839882,35.92290619
2.791298584,22.41139984,-21.64279938,-17.87299919,35.91831995
2.801298584,22.35039902,-21.66720009,-17.8852005,35.90109041
2.811298584,22.32600021,-21.61839867,-17.82419968,35.82607347
2.821298584,22.27719879,-21.61839867,-17.76319885,35.76534608
2.831298584,22.22839928,-21.59399986,-17.73880005,35.7080886
2.841298584,22.16740036,-21.61839867,-17.66559982,35.64859347
2.851298584,22.09420013,-21.63059998,-17.55579948,35.55618976
2.861298584,22.13080025,-21.66720009,-17.49480057,35.57116706
2.871298584,22.10639954,-21.66720009,-17.55579948,35.58604439
2.881298584,22.14299965,-21.65499878,-17.55579948,35.60136937
2.891298584,22.20400047,-21.67939949,-17.604599,35.67822733
2.901298584,22.25279999,-21.64279938,-17.65340042,35.71050852
2.911298584,22.27719879,-21.64279938,-17.62899971,35.7136666
2.921298584,22.33819962,-21.64279938,-17.69000053,35.78186756
2.931298584,22.39920044,-21.61839867,-17.72659874,35.82333938
2.941298584,22.42359924,-21.58180046,-17.76319885,35.83466405
2.951298584,22.44799995,-21.54520035,-17.76319885,35.8279164
2.961298584,22.44799995,-21.54520035,-17.81200027,35.85213681
2.971298584,22.42359924,-21.53299904,-17.79979897,35.82346569
2.981298584,22.36260033,-21.59399986,-17.83639908,35.84025468
2.991298584,22.33819962,-21.61839867,-17.82419968,35.83367714
3.001298584,22.33819962,-21.77700043,-18.15359879,36.09412776
3.011298584,22.35039902,-21.78919983,-18.1779995,36.1213127
3.021298584,22.36260033,-21.81359863,-18.10479927,36.10682394
3.031298584,22.37479973,-21.81359863,-18.06819916,36.09604645
3.041298584,22.46019936,-21.80139923,-17.8973999,36.05660115
3.051298584,22.44799995,-21.81359863,-17.8973999,36.05638238
3.061298584,22.46019936,-21.7159996,-17.9095993,36.01109469
3.071298584,22.42359924,-21.7038002,-17.8973999,35.97484773
3.081298584,22.39920044,-21.52079964,-17.49480057,35.65020399
3.091298584,22.36260033,-21.49639893,-17.48259926,35.6064929
3.101298584,22.41139984,-21.49639893,-17.56799889,35.67913388
3.111298584,22.42359924,-21.49639893,-17.62899971,35.71686717
3.121298584,22.36260033,-21.48419952,-17.72659874,35.71958882
3.131298584,22.38699913,-21.48419952,-17.67779922,35.7106867
3.141298584,22.42359924,-21.61839867,-17.604599,35.77841346
3.151298584,22.50899887,-21.60619926,-17.64119911,35.84263917
3.161298584,22.49679947,-21.64279938,-17.66559982,35.8690698
3.171298584,22.54559898,-21.66720009,-17.71439934,35.93844094
3.181298584,22.50899887,-21.66720009,-17.65340042,35.88544463
3.191298584,22.56999969,-21.7159996,-17.62899971,35.94121806
3.201298584,22.64319992,-21.75259972,-17.62899971,36.00932834
3.211298584,22.69199944,-21.77700043,-17.67779922,36.07865257
3.221298584,22.76519966,-21.69159889,-17.76319885,36.11524625
3.231298584,22.77739906,-21.67939949,-17.75099945,36.1096144
3.241298584,22.83839989,-21.63059998,-17.75099945,36.11887798
3.251298584,22.875,-21.63059998,-17.72659874,36.13005374
3.261298584,22.875,-21.59399986,-17.78759956,36.13813987
3.271298584,22.8871994,-21.60619926,-17.78759956,36.15315258
3.281298584,22.83839989,-21.59399986,-17.75099945,36.09697108
3.291298584,22.81399918,-21.56959915,-17.70219994,36.04294728
3.301298584,22.74079895,-21.60619926,-17.65340042,35.99464307
3.311298584,22.70419884,-21.63059998,-17.64119911,35.98020854
3.321298584,22.67980003,-21.63059998,-17.64119911,35.9648174
3.331298584,22.64319992,-21.63059998,-17.5802002,35.91184758
3.341298584,22.59440041,-21.67939949,-17.56799889,35.90456624
3.351298584,22.48460007,-21.69159889,-17.56799889,35.84295311
3.361298584,22.50899887,-21.7159996,-17.55579948,35.86705681
3.371298584,22.50899887,-21.72819901,-17.62899971,35.91032293
3.381298584,22.52120018,-21.75259972,-17.64119911,35.93872505
3.391298584,22.55780029,-21.75259972,-17.61680031,35.94970934
3.401298584,22.60659981,-21.78919983,-17.5923996,35.99055581
3.411298584,22.65539932,-21.77700043,-17.62899971,36.03174291
3.421298584,22.67980003,-21.76479912,-17.604599,36.02779089
3.431298584,22.76519966,-21.76479912,-17.604599,36.08161169
3.441298584,22.76519966,-21.74040031,-17.61680031,36.07285648
3.451298584,22.82620049,-21.74040031,-17.62899971,36.11733746
3.461298584,22.81399918,-21.75259972,-17.604599,36.10506971
3.471298584,22.78960037,-21.72819901,-17.64119911,36.09283063
3.481298584,22.82620049,-21.69159889,-17.69000053,36.11782122
3.491298584,22.83839989,-21.66720009,-17.69000053,36.11088739
3.501298584,22.78960037,-21.66720009,-17.67779922,36.07406312
3.511298584,22.67980003,-21.66720009,-17.70219994,36.01678458
3.521298584,22.66759872,-21.7159996,-17.77540016,36.0744996
3.531298584,22.56999969,-21.74040031,-17.76319885,36.02195338
3.541298584,22.61879921,-21.74040031,-17.77540016,36.05856257
3.551298584,22.64319992,-21.77700043,-17.75099945,36.08393315
3.561298584,22.56999969,-21.81359863,-17.73880005,36.05416756
3.571298584,22.54559898,-21.87459946,-17.73880005,36.0758529
3.581298584,22.5821991,-21.91119957,-17.78759956,36.14491777
3.591298584,22.70419884,-21.88679886,-17.71439934,36.17060344
3.601298584,22.74079895,-21.83799934,-17.61680031,36.11639247
3.611298584,22.81399918,-21.81359863,-17.49480057,36.08849804
3.621298584,22.80179977,-21.64279938,-17.71439934,36.08507699
